SubjectID,Age,Sex,sabbatical,SelfPerceivedEnglishReadingAbility,SelfPerceivedEnglishSpeakingAbility,SelfPerceivedEnglishWritingAbility,SelfPerceivedEnglishAbilityInGeneral,ComfortWithPresentEnglishAbilities,FrequencyOfReadingListeningWatchingEnglishMaterial_InNonEnglishClasses,ParticipatedInInterdisciplinaryCollaborationBetweenEnglishandOtherClasses,ConsideredStudyingAbroadWhereTeachingIsInEnglish,ToWhichDegreeEnglishImportantToYouInFutureStudies,ToWhichDegreeExpectToReadTextsInEnglish,ToWhichDegreeExpectCommunicationInEnglish,ComfortableWithEnglishTeachingAndMaterialsInFutureStudies,SelfPerceivedPreparednessInPotentialTeachingIsInEnglishInFutureStudies,WouldRequireExtraSupportReadingWritingSpeakingUnderstandingEnglishInThisContext,DoesSchoolSufficientlyPrepareStudentsToStudyInEnglishEnvironments,ImportanceOfEnglishToForFindingWork,DegreeOfExpectancyOfReadingEnglishTextInFutureWork,DegreeOfExpectancyOfEnglishCommunicationInFutureWork
78,21,Female,Yes,5,5,5,4,5,3,2,4,3,3,3,5,4,1,4,1,1,1
79,19,Female,Yes,5,5,5,5,5,3,3,4,4,3,3,4,5,1,3,2,3,3
80,19,Male,Yes,3,4,3,3,3,2,2,2,2,2,2,2,2,1,3,2,1,1
81,20,Female,Yes,4,4,3,4,4,2,1,3,3,3,2,4,4,2,4,1,3,3
82,19,Female,Yes,4,4,4,4,4,4,2,5,4,4,4,5,4,1,4,5,4,5
83,20,Female,Yes,5,5,5,5,5,3,3,5,4,5,5,5,5,1,3,2,2,3
84,18,Female,Yes,4,4,4,4,4,2,1,2,2,3,1,4,3,1,1,2,4,2
85,19,Male,Yes,4,4,4,4,4,5,3,3,3,2,2,2,4,1,3,2,2,2
86,20,Female,Yes,5,5,5,5,5,4,3,4,4,3,3,5,5,1,3,4,4,4
87,18,Female,Yes,4,5,4,5,4,3,2,5,4,4,4,5,5,1,4,4,4,3
88,19,Na,No,5,5,5,5,5,1,2,3,3,3,2,4,4,1,3,2,1,2
89,18,Male,Yes,5,4,5,5,4,3,1,4,4,4,5,5,4,1,4,3,5,4
90,20,Female,Yes,4,4,3,4,4,4,4,3,3,3,3,3,4,1,4,1,3,3
91,19,Female,No,4,4,4,5,5,2,3,3,3,3,3,4,4,Na,3,Na,3,3
92,19,Female,Yes,3,3,3,3,2,4,4,3,3,4,4,3,2,2,2,2,3,2
93,19,Female,Yes,3,3,3,3,3,3,1,2,3,3,2,2,3,3,4,3,2,2
94,20,Male,Yes,3,4,3,3,3,4,4,4,3,4,3,4,4,4,4,4,4,4
95,19,Female,Yes,5,4,4,3,4,3,3,4,5,3,3,4,3,3,2,2,4,2
96,20,Female,Yes,4,2,3,2,3,2,1,2,1,Na,2,2,Na,2,3,2,3,2
97,19,Female,Yes,3,2,3,2,2,4,4,1,1,2,2,1,1,5,4,1,2,2
98,20,Male,Yes,4,3,2,3,2,4,2,3,3,4,3,3,2,2,2,1,3,2
99,19,Female,No,3,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,1,2
100,19,Female,Yes,5,4,4,4,4,5,3,5,5,5,4,5,3,1,3,4,3,3
101,20,Female,Yes,4,3,3,3,3,3,3,4,2,3,3,4,4,2,3,3,3,3
102,19,Female,Yes,4,4,3,4,3,3,2,3,2,2,2,3,2,3,3,2,3,2
103,20,Female,Yes,4,4,5,5,5,3,2,2,2,2,2,4,4,3,3,2,2,2
104,20,Female,Yes,4,3,4,4,3,4,1,1,2,3,2,2,1,2,3,2,3,2
105,18,Female,Yes,4,4,4,4,4,3,2,2,1,2,2,4,4,1,3,2,1,1
106,19,Male,Yes,5,5,4,5,5,5,1,3,5,5,4,5,5,1,3,3,5,2
107,19,Female,Yes,4,3,3,3,3,3,2,1,2,2,2,3,2,1,2,1,2,2
108,20,Female,Yes,5,4,4,4,4,4,1,4,4,4,4,4,4,2,2,4,4,4
109,18,Male,Yes,5,5,4,5,5,2,2,3,4,3,4,4,4,1,3,1,1,1
110,19,Male,Yes,5,4,4,4,5,3,Na,3,3,3,2,3,3,1,3,3,Na,1
111,19,Female,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5
112,20,Female,Yes,5,4,4,5,5,2,3,4,4,4,2,5,5,1,3,1,3,1
113,18,Female,Yes,4,4,4,4,4,2,1,1,2,2,2,4,4,1,4,1,2,2
114,20,Female,Yes,3,2,3,3,2,2,3,2,3,3,2,3,2,3,3,3,3,3
115,19,Female,Yes,4,3,3,3,4,2,3,3,2,3,2,4,3,1,3,2,2,2
116,20,Female,Yes,3,3,3,3,3,2,2,3,2,3,2,2,2,3,4,1,2,1
117,20,Female,Yes,4,3,4,4,4,2,3,2,3,2,2,3,4,3,4,2,2,1
118,21,Female,Yes,5,4,4,4,5,3,3,1,2,2,1,4,3,2,2,2,2,2
119,20,Male,Yes,5,5,4,5,4,5,3,5,3,4,4,4,4,1,3,1,3,3
120,20,Male,Yes,4,3,3,3,4,1,1,2,1,3,2,4,4,1,3,2,2,2
121,20,Female,Yes,4,3,4,2,2,3,Na,2,Na,3,Na,Na,2,2,2,Na,2,Na
122,19,Male,Yes,4,5,4,5,4,4,3,4,4,5,3,5,5,2,4,5,5,3
123,19,Male,Yes,5,4,3,3,4,3,2,2,3,4,2,3,4,1,2,3,3,2
124,19,Male,Yes,5,5,5,5,5,2,2,4,4,4,3,5,5,1,3,3,4,3
125,19,Male,Yes,5,5,5,5,5,3,2,4,3,4,4,4,5,1,3,2,3,3
126,20,Male,No,5,5,5,5,5,2,3,4,3,2,2,5,5,1,4,1,5,2
127,19,Male,No,4,4,4,4,5,3,2,Na,Na,Na,Na,Na,Na,Na,3,1,3,1
128,20,Female,No,4,4,3,4,3,3,2,3,3,3,2,3,3,2,3,3,4,2
129,19,Female,No,4,4,4,4,5,3,Na,3,3,2,Na,4,4,1,3,3,2,3
130,19,Male,Yes,5,5,5,5,5,5,1,3,4,5,4,5,5,1,3,4,3,3
131,25,Male,Yes,5,4,4,4,4,4,2,5,5,5,5,5,4,1,4,3,5,3
132,20,Female,Yes,3,2,3,3,1,3,1,1,2,4,3,1,1,2,2,1,4,2
133,20,Male,Yes,5,5,4,5,5,3,3,3,4,5,3,5,4,2,3,4,5,3
134,19,Female,Yes,4,2,3,3,2,2,2,3,2,3,2,2,1,4,3,1,2,2
135,19,Female,Yes,4,3,3,4,4,2,1,3,2,3,3,4,4,3,3,2,2,2
136,20,Male,No,4,3,3,4,3,4,1,2,3,5,3,4,3,1,3,2,3,3
137,20,Male,Yes,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
138,20,Male,Yes,4,3,3,3,4,3,1,3,3,3,3,3,3,1,3,4,4,3
139,20,Female,Yes,4,3,5,4,3,3,2,4,1,4,3,3,3,1,2,1,2,1
140,19,Female,Yes,5,3,4,4,4,3,1,3,3,4,2,4,4,2,2,2,4,2
141,20,Female,Yes,4,3,3,3,3,2,2,2,3,2,2,3,1,2,2,1,2,2
142,19,Female,Yes,5,4,3,4,3,2,2,2,2,3,2,4,3,2,3,3,2,2
143,20,Female,Yes,4,4,4,4,3,3,2,4,2,4,3,3,3,1,3,1,3,2
144,19,Male,Yes,5,4,4,5,5,4,1,3,2,4,3,4,1,2,3,1,3,3
145,18,Female,Yes,5,4,5,5,5,3,3,3,1,3,3,4,5,1,4,1,3,3
146,19,Female,Yes,4,4,4,5,4,4,3,4,1,3,3,4,2,1,2,1,2,1
147,19,Female,Yes,4,3,4,4,4,3,3,5,3,3,3,4,3,1,3,3,2,3
148,26,Female,Yes,3,3,3,3,3,3,2,4,2,3,2,3,2,2,3,2,2,2
149,29,Male,No,4,4,4,3,4,2,1,1,1,1,1,3,3,3,2,1,1,1
150,19,Female,Yes,5,5,4,4,5,4,1,5,4,5,4,5,4,1,3,1,2,2
151,18,Male,Yes,5,4,5,4,4,3,1,4,4,4,4,4,4,1,3,4,3,3
152,18,Female,Yes,4,4,3,3,4,4,2,3,2,4,2,2,3,4,3,3,2,3
153,20,Female,Yes,5,5,5,5,5,4,3,4,5,5,5,5,5,1,4,4,5,3
154,19,Female,Yes,3,4,2,2,2,4,1,2,1,1,2,1,1,3,1,1,1,1
155,17,Male,No,4,3,4,4,4,3,2,2,1,3,2,4,4,1,4,2,3,2
156,18,Female,No,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3,4,3
157,22,Female,Yes,4,4,4,4,4,5,3,4,2,3,3,4,4,2,2,3,3,2
158,17,Female,No,5,4,4,4,5,2,3,4,2,3,3,4,3,1,3,3,3,2
159,20,Female,Yes,3,3,2,3,2,1,1,3,2,4,3,2,1,3,1,2,2,2
160,19,Female,Yes,4,4,4,3,4,2,2,4,3,4,3,4,3,2,3,1,2,2
161,18,Male,No,4,3,3,3,3,3,1,2,3,3,2,1,1,1,2,1,2,2
162,25,Female,No,4,3,4,3,3,3,2,4,1,2,2,4,3,2,2,Na,Na,2
163,17,Male,Yes,1,4,4,4,5,2,2,1,3,2,3,4,3,2,2,4,1,4
164,18,Male,Yes,5,4,3,4,4,3,1,5,2,3,4,4,3,2,1,3,3,4
165,19,Male,No,4,5,4,5,5,2,2,2,2,3,2,3,3,2,3,1,2,1
166,18,Female,Yes,4,4,4,4,4,3,3,4,2,4,3,4,4,1,2,3,3,3
167,18,Female,No,1,1,1,1,1,3,1,1,2,1,2,1,3,2,2,1,2,3
168,19,Female,Yes,3,3,4,3,3,3,3,4,3,4,2,3,4,3,2,3,4,2
169,19,Female,Yes,2,2,3,3,2,1,1,1,1,1,1,1,1,2,2,5,1,1
170,21,Male,No,5,4,5,5,5,4,3,5,4,4,4,5,5,1,4,3,4,3
171,21,Female,Yes,5,4,5,5,5,3,1,5,5,5,5,5,5,1,3,1,2,1
172,18,Female,Yes,5,4,5,5,5,3,2,4,5,4,4,5,3,3,3,3,3,2
173,18,Female,No,5,5,3,4,4,4,1,3,3,3,3,4,1,2,2,3,2,3
174,19,Female,Yes,2,3,3,3,3,3,2,3,1,2,3,2,2,2,2,1,2,2
175,20,Female,Yes,4,4,3,3,3,4,3,1,2,2,2,3,4,2,5,3,2,2
176,21,Male,Yes,5,4,5,5,5,3,2,5,5,3,5,5,4,1,2,4,3,5
177,18,Female,Yes,3,3,2,3,3,3,2,2,2,2,2,3,1,1,2,1,1,2
178,20,Female,Yes,4,4,4,3,3,3,2,1,1,4,2,2,3,2,3,2,2,2
179,17,Male,Yes,5,4,4,3,5,1,2,4,4,4,4,5,5,1,2,4,1,5
180,18,Female,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,5,Na,Na,Na,Na
181,18,Male,No,5,4,4,4,4,2,1,4,4,4,3,5,4,1,3,3,4,3
182,18,Female,Yes,4,4,3,4,4,4,3,2,2,3,3,3,2,3,3,4,3,2
183,17,Female,Yes,4,4,4,4,4,3,3,3,2,3,3,4,4,1,3,2,3,2
184,18,Female,Yes,5,5,5,4,5,4,4,5,3,3,3,4,5,1,5,3,3,3
185,18,Female,Yes,4,4,3,4,3,5,2,3,2,3,2,3,1,2,3,2,1,1
186,18,Male,No,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5
187,18,Female,Yes,4,5,4,4,3,2,1,1,2,3,2,3,3,1,2,1,2,4
188,20,Female,Yes,3,4,2,2,2,3,1,1,1,2,1,1,1,5,2,1,Na,Na
189,18,Female,Yes,5,4,4,4,4,2,2,3,3,2,3,3,2,1,3,1,2,2
190,18,Female,Yes,5,4,5,4,4,5,3,4,4,4,4,5,4,3,3,3,4,4
191,16,Female,Yes,5,4,5,5,4,2,3,3,3,3,3,5,3,2,2,2,2,2
192,19,Female,Yes,4,4,3,Na,4,4,3,5,4,4,4,4,3,2,1,4,4,3
193,18,Female,Yes,4,3,4,4,4,3,3,4,3,3,3,4,4,3,2,3,3,2
194,17,Male,No,5,4,4,4,4,3,3,4,2,3,3,4,4,1,3,3,4,3
195,19,Male,Yes,2,2,3,2,3,1,1,3,2,3,3,2,1,3,2,1,1,3
196,18,Female,Yes,4,5,3,5,4,3,4,3,2,3,3,2,3,2,3,2,3,3
197,18,Male,Yes,5,4,5,4,4,5,2,3,3,4,3,5,5,1,3,3,4,3
198,18,Female,Yes,2,2,2,2,2,4,2,3,4,4,4,2,2,5,2,4,4,4
199,25,Female,No,3,3,2,3,2,3,2,2,2,3,2,2,1,5,1,1,3,3
200,19,Male,No,4,3,3,4,4,3,2,3,3,3,2,3,4,2,2,3,2,2
201,17,Female,Yes,5,5,5,5,5,3,5,4,4,5,4,4,5,1,3,4,4,3
202,21,Male,No,5,5,5,5,5,2,2,4,4,5,4,4,5,1,3,3,3,2
203,19,Male,No,3,4,3,3,3,2,2,2,1,2,2,2,1,2,2,2,2,2
204,19,Male,Yes,5,4,5,5,5,2,2,4,3,3,3,5,3,2,2,3,3,2
205,18,Female,Yes,5,4,4,4,4,2,3,3,3,3,2,4,4,2,2,3,2,2
206,18,Male,Yes,5,4,4,4,4,4,1,3,3,3,3,4,3,3,2,4,3,4
207,18,Female,Yes,4,4,4,4,4,4,3,4,4,4,3,3,4,3,4,4,4,2
208,16,Male,No,5,5,5,5,5,3,1,3,3,3,3,5,5,1,3,1,1,3
209,17,Male,No,5,4,4,4,5,2,2,4,1,3,2,5,5,1,4,1,1,2
210,17,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
211,23,Female,No,5,4,4,4,5,3,1,3,2,3,2,2,2,3,2,4,4,3
212,18,Female,Yes,4,4,4,4,5,3,4,4,3,4,3,5,5,1,3,2,3,3
213,18,Female,Yes,4,5,5,5,4,2,1,3,4,4,4,4,4,1,2,2,1,3
214,17,Female,No,4,4,3,4,3,3,2,5,4,4,4,4,3,2,3,3,5,5
215,18,Female,Yes,2,3,2,2,2,3,3,1,2,3,2,1,1,4,2,3,3,2
216,18,Male,Yes,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2
217,16,Female,No,5,4,3,4,4,5,3,5,5,5,5,4,3,1,3,4,4,4
218,18,Male,No,4,3,4,4,3,4,3,4,4,4,4,5,3,3,3,4,4,4
219,19,Female,No,5,5,4,5,4,4,3,4,4,4,4,3,3,2,3,5,3,4
220,22,Female,Yes,3,2,4,3,3,2,1,3,3,4,2,2,2,4,1,3,3,2
221,18,Female,Yes,3,3,3,3,4,2,3,2,1,2,1,3,1,2,3,1,1,2
222,21,Female,Yes,4,3,4,4,3,1,1,1,3,3,3,4,3,3,3,2,2,2
223,20,Female,No,5,3,4,4,5,3,2,5,1,4,2,5,5,1,4,4,4,2
224,19,Male,No,4,4,3,4,4,4,2,2,3,3,2,4,4,1,3,2,2,1
225,17,Female,Yes,5,4,5,5,5,3,2,4,3,3,3,5,5,1,3,2,3,3
226,19,Female,Yes,5,5,5,4,4,4,4,4,3,4,3,4,4,1,3,2,3,2
227,19,Male,No,5,5,5,5,5,4,4,2,2,4,3,4,5,1,3,4,5,2
228,18,Male,Yes,5,4,3,4,4,2,1,1,1,2,1,3,2,1,3,1,3,2
229,18,Female,Yes,4,3,4,3,3,3,2,1,Na,Na,Na,Na,Na,2,2,1,2,1
